"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14823-8532","G","Henrik","Lundqvist","5.165384615384616","52","10000","CLS@NYR","NYR","CLS","","","",""
"14823-8594","C","Sidney","Crosby","3.8559322033898304","59","9300","ARI@PIT","PIT","ARI","","","",""
"14823-8612","G","Marc-Andre","Fleury","4.933333333333334","45","9200","ARI@PIT","PIT","ARI","","","",""
"14823-15400","G","Petr","Mrazek","5.004651162790698","43","9100","DET@DAL","DET","DAL","","","",""
"14823-8595","C","Evgeni","Malkin","4.069","50","9000","ARI@PIT","PIT","ARI","","","",""
"14823-8883","G","Ben","Bishop","4.76595744680851","47","8900","TB@TOR","TB","TOR","","","",""
"14823-54514","LW","Johnny","Gaudreau","3.8833333333333333","60","8800","CGY@PHI","CGY","PHI","","","",""
"14823-9302","G","Michal","Neuvirth","5.064285714285715","28","8700","CGY@PHI","PHI","CGY","","","",""
"14823-8655","C","Steven","Stamkos","3.4645161290322584","62","8600","TB@TOR","TB","TOR","","","",""
"14823-8986","LW","Jamie","Benn","4.523015873015873","63","8500","DET@DAL","DAL","DET","","","",""
"14823-9278","G","Martin","Jones","4.619230769230769","52","8400","MON@SJ","SJ","MON","","","",""
"14823-8302","LW","Rick","Nash","3.413333333333333","45","8300","CLS@NYR","NYR","CLS","O","Knee","",""
"14823-54065","G","Joonas","Korpisalo","4.747826086956523","23","8300","CLS@NYR","CLS","NYR","","","",""
"14823-8958","G","Jeff","Zatkoff","3.8769230769230774","13","8000","ARI@PIT","PIT","ARI","","","",""
"14823-12163","G","Sergei","Bobrovsky","3.896296296296297","27","8000","CLS@NYR","CLS","NYR","IR","Groin","",""
"14823-40050","G","Antti","Raanta","3.0571428571428574","14","7900","CLS@NYR","NYR","CLS","","","",""
"14823-54565","G","Andrei","Vasilevskii","4.376470588235295","17","7900","TB@TOR","TB","TOR","","","",""
"14823-8312","G","Steve","Mason","4.172972972972973","37","7800","CGY@PHI","PHI","CGY","","","",""
"14823-8556","C","Claude","Giroux","3.4387931034482757","58","7800","CGY@PHI","PHI","CGY","","","",""
"14823-8172","G","Kari","Lehtonen","4.02","30","7700","DET@DAL","DAL","DET","","","",""
"14823-41389","C","Sean","Monahan","2.8516666666666666","60","7600","CGY@PHI","CGY","PHI","","","",""
"14823-12417","C","Tyler","Seguin","4.561904761904762","63","7600","DET@DAL","DAL","DET","","","",""
"14823-8303","RW","Jakub","Voracek","3.1883333333333335","60","7500","CGY@PHI","PHI","CGY","DTD","Lower body","",""
"14823-8294","C","Derick","Brassard","3.2540983606557377","61","7400","CLS@NYR","NYR","CLS","","","",""
"14823-8608","D","Kris","Letang","3.534","50","7400","ARI@PIT","PIT","ARI","","","",""
"14823-39844","G","Mike","Condon","3.360975609756098","41","7300","MON@SJ","MON","SJ","","","",""
"14823-8404","RW","Wayne","Simmonds","3.2401639344262296","61","7200","CGY@PHI","PHI","CGY","","","",""
"14823-9269","C","Logan","Couture","3.2516129032258068","31","7100","MON@SJ","SJ","MON","","","",""
"14823-8797","LW","James","van Riemsdyk","3.315","40","7100","TB@TOR","TOR","TB","IR","Foot","",""
"14823-9288","G","Antti","Niemi","3.9900000000000007","40","7100","DET@DAL","DAL","DET","","","",""
"14823-12093","G","Ben","Scrivens","3.2666666666666675","9","7100","MON@SJ","MON","SJ","","","",""
"14823-8672","G","Mike","Smith","3.6727272727272733","22","7100","ARI@PIT","ARI","PIT","IR","Lower body","",""
"14823-8615","RW","Joe","Pavelski","4.032786885245901","61","7100","MON@SJ","SJ","MON","","","",""
"14823-8441","LW","Max","Pacioretty","3.3161290322580648","62","7000","MON@SJ","MON","SJ","","","",""
"14823-8682","RW","Phil","Kessel","3.0133333333333336","60","7000","ARI@PIT","PIT","ARI","","","",""
"14823-14483","G","Louis","Domingue","4.158620689655173","29","6900","ARI@PIT","ARI","PIT","","","",""
"14823-8426","D","Brent","Burns","3.8688524590163933","61","6800","MON@SJ","SJ","MON","","","",""
"14823-8353","G","Jimmy","Howard","3.241666666666667","24","6800","DET@DAL","DET","DAL","","","",""
"14823-8152","G","Jonas","Hiller","2.9454545454545458","22","6700","CGY@PHI","CGY","PHI","","","",""
"14823-8780","G","Jonathan","Bernier","3.0928571428571425","28","6600","TB@TOR","TOR","TB","","","",""
"14823-9052","G","James","Reimer","3.96875","32","6600","MON@SJ","SJ","MON","","","",""
"14823-14148","G","Joni","Ortio","1.4249999999999998","8","6500","CGY@PHI","CGY","PHI","","","",""
"14823-68599","G","Nathan","Schoenfeld","0","0","6500","ARI@PIT","ARI","PIT","","","",""
"14823-14126","G","Allan","York","0","0","6400","TB@TOR","TB","TOR","","","",""
"14823-8233","G","Curtis","McElhinney","2.011764705882353","17","6400","CLS@NYR","CLS","NYR","","","",""
"14823-40023","G","Anton","Forsberg","2.9000000000000004","4","6400","CLS@NYR","CLS","NYR","","","",""
"14823-43214","RW","Nikita","Kucherov","3.368333333333333","60","6400","TB@TOR","TB","TOR","","","",""
"14823-12240","G","Edward","Pasquale","0","0","6400","MON@SJ","MON","SJ","","","",""
"14823-12448","C","Derek","Stepan","2.6980769230769233","52","6400","CLS@NYR","NYR","CLS","","","",""
"14823-8598","LW","Chris","Kunitz","2.4551724137931035","58","6400","ARI@PIT","PIT","ARI","","","",""
"14823-9266","LW","Brayden","Schenn","2.792372881355932","59","6300","CGY@PHI","PHI","CGY","","","",""
"14823-8765","RW","Patric","Hornqvist","2.826666666666667","60","6300","ARI@PIT","PIT","ARI","","","",""
"14823-43219","G","Kristers","Gudlevskis","5.2","1","6300","TB@TOR","TB","TOR","","","",""
"14823-12244","D","Oliver","Ekman-Larsson","3.4016129032258067","62","6300","ARI@PIT","ARI","PIT","","","",""
"14823-9252","G","Alex","Stalock","2.030769230769231","13","6200","TB@TOR","TOR","TB","","","",""
"14823-15251","LW","Boone","Jenner","2.7912698412698416","63","6200","CLS@NYR","CLS","NYR","","","",""
